d,eta,N_needed
-98035,0.363875460071,3
-98031,0.715490427468,4
-98027,0.28884780128,3
-98024,0.719181206585,4
-98023,0.5842653088519999,3
-98015,0.437447268455,3
-98011,0.156817590776,3
-98008,0.0870450007342,3
-98007,0.461285588021,3
-98004,0.371201691409,3
-98003,0.412508886429,3
-97999,0.338448342708,3
-97995,0.39794669609100003,3
-97991,0.830057939313,4
-97988,0.297019875295,3
-97987,0.375439113644,3
-97979,0.6166588196709999,4
-97976,0.336548494171,3
-97972,0.658259867074,4
-97967,0.658296380388,4
-97963,0.484545947859,4
-97960,0.0840008840326,3
-97959,0.470228504473,3
-97955,0.451236313689,3
-97944,0.450640905849,3
-97943,0.503094972762,3
-97940,0.7171455133989999,4
-97939,0.706619784544,4
-97935,0.484915961256,3
-97931,0.320317013709,3
-97928,0.784224101632,4
-97927,0.24293247506500001,3
-97924,0.341487694205,3
-97923,0.200416693506,3
-97919,0.9507922564479999,5
-97915,0.235176987652,3
-97912,0.22768577414900001,3
-97908,0.284294566933,3
-97907,0.519006483713,4
-97903,0.192424939355,3
-97899,0.6307331091299999,4
-97896,0.241418630346,3
-97895,0.686875439875,4
-97892,0.264432831355,3
-97891,0.5477121073169999,4
-97887,0.5790286348039999,3
-97883,0.197112276481,3
-97880,0.6337905426249999,4
-97879,0.443425051895,3
-97876,0.43246939162,3
-97871,0.5425328393829999,4
-97867,0.209388048943,3
-97864,0.391235461481,3
-97863,0.5613994710319999,3
-97860,0.283748636559,3
-97859,0.496855173241,4
-97855,0.45736300990900003,3
-97847,0.6992698878229999,4
-97844,0.623644411904,4
-97843,0.158884708672,3
-97835,0.329586321773,3
-97832,0.360043538822,3
-97828,0.444769073522,3
-97827,0.408306803882,3
-97823,0.29768994440700003,3
-97819,0.5414394508649999,4
-97816,0.55331213077,4
-97815,0.177609630811,3
-97811,0.6160665303459999,4
-97807,0.29402409342,3
-97799,0.36284140715200003,3
-97796,0.6457486437879999,4
-97795,0.543348388562,4
-97791,0.062480062610400004,3
-97787,0.5341178432729999,4
-97784,0.6041794710789999,4
-97783,0.268708926561,3
-97780,0.373188785708,3
-97779,0.332529386613,3
-97771,0.280498076166,3
-97764,0.572942028496,4
-97763,0.381126750925,3
-97759,0.451172890715,3
-97752,0.204858818864,3
-97751,0.7934188175019999,4
-97748,0.5270522394089999,3
-97747,0.357428815959,3
-97743,0.621104181056,4
-97739,0.458167179725,4
-97736,0.360087904621,3
-97735,0.5680041641579999,3
-97732,0.261564827786,3
-97727,0.359995091981,3
-97723,0.372186894704,3
-97720,0.267932970069,3
-97719,0.5759610079869999,4
-97716,0.2013419901,3
-97715,0.409674960004,3
-97711,0.5632097042099999,4
-97707,0.224871644664,3
-97703,0.39280056949500003,3
-97699,0.249259462971,3
-97691,0.632869207265,4
-97688,0.5028478970029999,4
-97687,0.422546651962,3
-97684,0.176210522148,3
-97683,0.516424610145,4
-97679,0.820947264783,4
-97672,0.355501449359,3
-97671,0.554468674524,4
-97667,0.2554655307,3
-97663,0.5852282604779999,4
-97656,0.5464469202,4
-97655,0.763747771711,4
-97652,0.401962292453,3
-97651,0.217479049648,3
-97643,0.372947581531,3
-97640,0.419384199542,3
-97639,0.6756591431829999,4
-97636,0.441548832699,3
-97635,0.26249235926,3
-97631,0.682938281925,4
-97627,0.371279202815,3
-97624,0.208557687351,3
-97620,0.314462912167,3
-97619,0.414239079575,3
-97615,0.5650618142689999,3
-97611,0.425670722364,4
-97607,0.40226399087,3
-97604,0.42050579011,3
-97603,0.301350350949,3
-97599,0.793818670947,4
-97595,0.295642977319,3
-97592,0.379249568095,3
-97591,0.363032154719,3
-97588,0.380985512157,3
-97583,0.6454500143609999,4
-97579,0.656109118074,4
-97576,0.47983091218,4
-97572,0.484817411283,3
-97571,0.434108712392,4
-97567,0.117270090351,3
-97563,0.310079211916,3
-97555,0.464095465686,4
-97547,0.347866446928,3
-97544,0.6460597527219999,4
-97543,0.609094072824,4
-97540,0.409570100414,3
-97539,0.374983087749,3
-97535,0.595046953277,4
-97531,0.251740868651,3
-97528,0.104102041107,3
-97527,0.6294305327299999,4
-97523,0.599106759919,4
-97519,0.328015951753,3
-97512,0.293243986708,3
-97511,0.7595313612589999,4
-97508,0.448585352842,3
-97507,0.286525428418,3
-97503,0.571974373598,3
-97499,0.7189440471699999,4
-97496,0.496175406725,3
-97495,0.377792921749,3
-97492,0.45065852632,3
-97491,0.51582931015,4
-97487,0.419004603266,3
-97483,0.163693395606,3
-97480,0.16784906715700001,3
-97476,0.284920144516,3
-97471,0.499058952669,4
-97467,0.310423602355,3
-97464,0.5387485040819999,4
-97463,0.48678879974,3
-97460,0.5990464784559999,4
-97459,0.457879538263,4
-97455,0.168209983454,3
-97451,0.5084115342709999,4
-97448,0.433463533012,3
-97447,0.401892335952,3
-97444,0.38323948379,3
-97439,0.7309712773689999,4
-97435,0.242534553047,3
-97432,0.314448047858,3
-97431,0.7603117997959999,4
-97428,0.185371322797,3
-97427,0.0282011147368,3
-97423,0.5236582832069999,3
-97419,0.451547290461,4
-97415,0.8610014275979999,4
-97411,0.337853870366,4
-97403,0.181708520582,3
-97399,0.180782794573,3
-97396,0.401701862707,3
-97395,0.223086489282,3
-97391,0.65198679034,4
-97387,0.412021870778,4
-97384,0.426147899057,3
-97383,0.6557975920089999,4
-97379,0.396788145111,4
-97368,0.306775555488,3
-97367,0.487708244797,3
-97364,0.368456265558,3
-97359,0.6471306754989999,4
-97355,0.5738541423639999,4
-97352,0.5306502641249999,3
-97351,0.41507165581600003,3
-97348,0.196352976016,3
-97347,0.449044839445,4
-97343,0.555108538028,3
-97339,0.172181080061,3
-97332,0.281938476319,3
-97331,0.5750557565229999,4
-97327,0.435842833852,3
-97323,0.270182578292,3
-97320,0.251613019695,3
-97319,0.735884142154,4
-97316,0.348526716151,3
-97315,0.40244342559,3
-97311,0.480947854759,3
-97307,0.32523674477,3
-97304,0.468840705417,3
-97303,0.316162122862,3
-97295,0.811166422934,4
-97291,0.477083859886,4
-97288,0.281935694179,3
-97287,0.0854802078941,3
-97283,0.449899993941,3
-97279,0.44845962045300003,3
-97271,0.605994268227,4
-97268,0.397382507757,3
-97267,0.218875379938,3
-97259,0.547926867795,4
-97256,0.6531437821039999,4
-97255,0.365128001747,3
-97252,0.199026144474,3
-97251,0.194419570226,3
-97247,0.432348907064,3
-97243,0.393136129641,3
-97240,0.498062423389,4
-97239,0.536250493335,3
-97235,0.492212009767,4
-97231,0.805171486442,4
-97224,0.381445024785,3
-97223,0.264878193972,3
-97220,0.317065902019,3
-97219,0.445250300634,4
-97215,0.751844294573,4
-97211,0.426408274914,4
-97208,0.396300022881,3
-97207,0.5972333889939999,4
-97204,0.264244275473,3
-97203,0.191737420112,3
-97195,0.467952967612,4
-97192,0.386001133207,3
-97188,0.460246579194,3
-97187,0.686181686868,4
-97183,0.296204532043,3
-97179,0.415856863673,4
-97176,0.445196003676,3
-97172,0.577796717774,4
-97171,0.461975683177,4
-97160,0.380507616989,3
-97159,0.852327830338,4
-97156,0.26399340858,3
-97151,0.767485490534,4
-97147,0.311146377468,3
-97144,0.432793169151,3
-97143,0.218872805191,3
-97140,0.47199602024,3
-97139,0.5214742797599999,4
-97135,0.256124556464,3
-97131,0.313355796732,3
-97127,0.6262042001029999,4
-97124,0.673708321437,4
-97123,0.22550098250700001,3
-97115,0.451377798788,4
-97112,0.280519750516,3
-97111,0.410128294265,3
-97108,0.355055146066,3
-97107,0.271657278301,3
-97103,0.7097647472919999,4
-97099,0.390476247544,3
-97096,0.549490951739,4
-97095,0.406818536633,3
-97091,0.33956196455800003,3
-97087,0.401710358794,3
-97080,0.161354541056,3
-97079,0.8773773832799999,5
-97076,0.155464741869,3
-97071,0.533129794998,3
-97067,0.5395675751329999,4
-97064,0.278025074742,3
-97063,0.17263142403,3
-97060,0.358392710006,3
-97059,0.424626652467,3
-97055,0.7258346742009999,4
-97051,0.491031131564,4
-97048,0.451457914639,3
-97044,0.531809239657,4
-97043,0.145060140982,3
-97039,0.5107440907359999,3
-97035,0.47022806403,3
-97032,0.206217735176,3
-97031,0.498124395307,3
-97028,0.587671538325,4
-97027,0.342999017708,3
-97023,0.348812494102,3
-97019,0.5590051506229999,4
-97016,0.641069180013,4
-97015,0.570168989865,4
-97012,0.315589367043,3
-97007,0.5073224662229999,3
-97003,0.308254760532,3
-96999,0.361642109671,3
-96996,0.368970732611,3
-96995,0.288124593355,3
-96991,0.490513265292,3
-96987,0.324942777926,3
-96983,0.8380661502019999,4
-96980,0.394216418895,3
-96979,0.371101036237,3
-96968,0.44318745291,3
-96967,0.760592564562,4
-96964,0.454002819491,4
-96963,0.225287878204,3
-96959,0.538018035417,3
-96955,0.223355650183,3
-96952,0.365080687299,3
-96951,0.5572960884529999,3
-96947,0.39117335706,3
-96943,0.6541371611079999,4
-96936,0.445600302103,3
-96935,0.401168549564,3
